id,label,project,refactor,method,source class,target class,url
22534,1,Activiti/Activiti,"Move Method	protected addTimerDeclaration(scope ScopeImpl, timerDeclaration TimerDeclarationImpl) : void from class org.activiti.engine.impl.bpmn.parser.handler.AbstractBpmnParseHandler to protected addTimerDeclaration(scope ScopeImpl, timerDeclaration TimerDeclarationImpl) : void from class org.activiti.engine.impl.bpmn.parser.handler.TimerEventDefinitionParseHandler",addTimerDeclaration,org.activiti.engine.impl.bpmn.parser.handler.AbstractBpmnParseHandler,org.activiti.engine.impl.bpmn.parser.handler.TimerEventDefinitionParseHandler,https://github.com/Activiti/Activiti/commit/c09c28a2e97b7469de4bdb0d7ed752ba4a50927a
13391,1,apache/camel,"Move Method	private hasAnnotation(clazz Class<?>, annotationType Class<? extends Annotation>) : boolean from class org.apache.camel.util.ResolverUtil.AnnotatedWith to public hasAnnotation(elem AnnotatedElement, annotationType Class<? extends Annotation>, checkMetaAnnotations boolean) : boolean from class org.apache.camel.util.ObjectHelper",hasAnnotation,org.apache.camel.util.ResolverUtil.AnnotatedWith,org.apache.camel.util.ObjectHelper,https://github.com/apache/camel/commit/22a1767fb1b5ca4d09b24b5365e15bc10b600216
24518,1,AsyncHttpClient/async-http-client,"Move Method	public getHttpClientCodecMaxChunkSize() : int from class org.asynchttpclient.netty.NettyAsyncHttpProviderConfig to public getHttpClientCodecMaxChunkSize() : int from class org.asynchttpclient.config.AsyncHttpClientConfig",getHttpClientCodecMaxChunkSize,org.asynchttpclient.netty.NettyAsyncHttpProviderConfig,org.asynchttpclient.config.AsyncHttpClientConfig,https://github.com/AsyncHttpClient/async-http-client/commit/5cb66f7506a172f74f2da921d3b5db94451a8067
29987,2,oblac/jodd,"Move Method	package testJavaEscapes() : void from class jodd.util.StringUtilTest to package testJavaEscapes() : void from class jodd.util.FormatTest",testJavaEscapes,jodd.util.StringUtilTest,jodd.util.FormatTest,https://github.com/oblac/jodd/commit/c755cbb27c4ad6ec92c331ab4369a41743f5f674
9118,1,real-logic/aeron,"Move And Rename Method	private putTermOffset(logBuffer AtomicBuffer, frameOffset int, termOffset int) : void from class uk.co.real_logic.aeron.common.concurrent.logbuffer.LogAppender to public frameTermOffset(logBuffer AtomicBuffer, frameOffset int, termOffset int) : void from class uk.co.real_logic.aeron.common.concurrent.logbuffer.FrameDescriptor",putTermOffset,uk.co.real_logic.aeron.common.concurrent.logbuffer.LogAppender,uk.co.real_logic.aeron.common.concurrent.logbuffer.FrameDescriptor,https://github.com/real-logic/aeron/commit/99980a145c0e1f1d188f5206cb8116b328c346d9
6429,1,OpenRefine/OpenRefine,"Move And Rename Method	protected tarToOutputStream(project Project, os OutputStream) : void from class com.google.refine.commands.project.ExportProjectCommand to public gzipTarToOutputStream(project Project, os OutputStream) : void from class com.google.refine.io.FileProjectManager",tarToOutputStream,com.google.refine.commands.project.ExportProjectCommand,com.google.refine.io.FileProjectManager,https://github.com/OpenRefine/OpenRefine/commit/c758a6b6356e7ada6ec7531f5d184b4d32c7455f
26891,2,opensearch-project/OpenSearch,"Move Method	public randomFrom(values T...) : T from class org.elasticsearch.test.ElasticsearchTestCase to public randomFrom(list List<T>) : T from class org.elasticsearch.test.ESTestCase",randomFrom,org.elasticsearch.test.ElasticsearchTestCase,org.elasticsearch.test.ESTestCase,https://github.com/opensearch-project/OpenSearch/commit/e5a699fa05a6e4ffcb919e8a2a6da8f57e1c2ce8
19175,1,apache/shardingsphere,"Move Method	public compareTo(thisValue Comparable, otherValue Comparable, orderByType OrderType) : int from class com.dangdang.ddframe.rdb.sharding.merger.util.ResultSetUtil to public compareTo(thisValue Comparable, otherValue Comparable, type OrderType) : int from class com.dangdang.ddframe.rdb.sharding.merger.resultset.memory.row.OrderByResultSetRow",compareTo,com.dangdang.ddframe.rdb.sharding.merger.util.ResultSetUtil,com.dangdang.ddframe.rdb.sharding.merger.resultset.memory.row.OrderByResultSetRow,https://github.com/apache/shardingsphere/commit/0780d9b8dc00b1f14b43b7d09ab9dc098c170672
2844,1,oracle/graal,"Move Method	private createDebugInfo(model ModelModule, symbolResolver LLVMSymbolReadResolver) : void from class com.oracle.truffle.llvm.parser.LLVMParser to private createDebugInfo(model ModelModule, symbolResolver LLVMSymbolReadResolver) : void from class com.oracle.truffle.llvm.Runner",createDebugInfo,com.oracle.truffle.llvm.parser.LLVMParser,com.oracle.truffle.llvm.Runner,https///github.com/oracle/graal/commit/724e3cfa61fa9eb9e30e199088e25f96336af876
20217,2,apache/hadoop,"Move And Rename Method	public convertFromProtoFormat(protoToken Token, serviceAddr InetSocketAddress) : Token<T> from class org.apache.hadoop.yarn.util.ProtoUtils to public convertFromYarn(protoToken Token, serviceAddr InetSocketAddress) : Token<T> from class org.apache.hadoop.yarn.util.ConverterUtils",convertFromProtoFormat,org.apache.hadoop.yarn.util.ProtoUtils,org.apache.hadoop.yarn.util.ConverterUtils,https://github.com/apache/hadoop/commit/acc0d3eb521e3c1d1b2f4be9b46c685ee921504b
5087,1,williamfiset/Algorithms,"Move Method	private buildTree(graph List<List<Integer>>, node TreeNode) : TreeNode from class com.williamfiset.algorithms.graphtheory.treealgorithms.LowestCommonAncestorEulerTour to private buildTree(graph List<List<Integer>>, node TreeNode) : TreeNode from class com.williamfiset.algorithms.graphtheory.treealgorithms.LowestCommonAncestor.TreeNode",buildTree,com.williamfiset.algorithms.graphtheory.treealgorithms.LowestCommonAncestorEulerTour,com.williamfiset.algorithms.graphtheory.treealgorithms.LowestCommonAncestor.TreeNode,https://github.com/williamfiset/Algorithms/commit/e45d7fef7b5334f136c521c0a069675f58aa7a03
8350,0,gocd/gocd,"Move Method	public deleteAgentCommand(uuid String) : DeleteAgent from class com.thoughtworks.go.config.GoConfigDao to public deleteAgentCommand(uuid String) : DeleteAgent from class com.thoughtworks.go.server.service.AgentConfigService",deleteAgentCommand,com.thoughtworks.go.config.GoConfigDao,com.thoughtworks.go.server.service.AgentConfigService,https://github.com/gocd/gocd/commit/f45fa80b84951257764fe79c8700d30c9cd56784
12870,1,cglib/cglib,"Move Method	private findPackageProtected(classes Class[]) : int from class net.sf.cglib.Mixin to public findPackageProtected(classes Class[]) : int from class net.sf.cglib.core.ReflectUtils",findPackageProtected,net.sf.cglib.Mixin,net.sf.cglib.core.ReflectUtils,https://github.com/cglib/cglib/commit/e3c3b81a1ae2a64a75443705f3b3babaa69d1706
24324,2,apache/jmeter,"Move And Rename Method	public testNoCacheHttpClient() : void from class org.apache.jmeter.protocol.http.control.TestCacheManagerHC4 to public testNoCache() : void from class org.apache.jmeter.protocol.http.control.TestCacheManagerBase",testNoCacheHttpClient,org.apache.jmeter.protocol.http.control.TestCacheManagerHC4,org.apache.jmeter.protocol.http.control.TestCacheManagerBase,https://github.com/apache/jmeter/commit/ac6f01ab2ba945ea07ed3465b7bdcb972e648485
1477,1,alibaba/fastjson,"Move Method	public isSpecial_doubleQuotes(ch char) : boolean from class com.alibaba.fastjson.parser.CharTypes to public isSpecial_doubleQuotes(ch char) : boolean from class com.alibaba.json.bvt.CharTypesTest",isSpecial_doubleQuotes,com.alibaba.fastjson.parser.CharTypes,com.alibaba.json.bvt.CharTypesTest,https://github.com/alibaba/fastjson/commit/f56369e3bb39c501e9ef969a93c253f6701c8648
23436,2,apache/cassandra,"Move And Rename Method	public unsetCe() : void from class org.apache.cassandra.service.Cassandra.get_slice_result to public unsetKey() : void from class org.apache.cassandra.service.Cassandra.insert_blocking_args",unsetCe,org.apache.cassandra.service.Cassandra.get_slice_result,org.apache.cassandra.service.Cassandra.insert_blocking_args,https://github.com/apache/cassandra/commit/ef293c1a6ad591958254f8916814f9ee74cc5ffb
22742,2,junit-team/junit4,"Move And Rename Method	private validateTestMethods(annotation Class<? extends Annotation>, isStatic boolean) : void from class org.junit.internal.runners.MethodValidator to public validate(isStatic boolean, errors List<Throwable>) : void from class org.junit.internal.runners.model.TestMethod",validateTestMethods,org.junit.internal.runners.MethodValidator,org.junit.internal.runners.model.TestMethod,https://github.com/junit-team/junit4/commit/576377b9ad44028dc84c2f8487cfe8dbccb8c252
11674,1,hazelcast/hazelcast,"Move Method	private createMapEntry(key Data, value Object) : Map.Entry from class com.hazelcast.map.impl.operation.EntryOperation to protected createMapEntry(key Data, value Object) : Map.Entry from class com.hazelcast.map.impl.operation.MutatingKeyBasedMapOperation",createMapEntry,com.hazelcast.map.impl.operation.EntryOperation,com.hazelcast.map.impl.operation.MutatingKeyBasedMapOperation,https://github.com/hazelcast/hazelcast/commit/dd8a9288fafb1a93848db7870368655547bf54f3
6694,1,stanfordnlp/CoreNLP,"Move Method	public getNodeInRelation(t TreeGraphNode, r GrammaticalRelation) : TreeGraphNode from class edu.stanford.nlp.trees.GrammaticalStructure to public getNodeInRelation(r GrammaticalRelation) : TreeGraphNode from class edu.stanford.nlp.trees.TreeGraphNode",getNodeInRelation,edu.stanford.nlp.trees.GrammaticalStructure,edu.stanford.nlp.trees.TreeGraphNode,https://github.com/stanfordnlp/CoreNLP/commit/539ede978d79e7be7407ac95d1378252072bf0f5
4257,1,openjdk/jdk,"Move And Rename Method	private threadByName(name String) : ThreadReference from class nsk.jdi.MethodExitRequest.addInstanceFilter.instancefilter002 to public threadByNameOrThrow(name String) : ThreadReference from class nsk.share.jdi.Debugee",threadByName,nsk.jdi.MethodExitRequest.addInstanceFilter.instancefilter002,nsk.share.jdi.Debugee,https://github.com/openjdk/jdk/commit/dc0cc5520c2299375e829d0de64d7d6e14990ba5
14131,1,apache/pinot,"Move Method	private ensureMinReplicas(tableConfig TableConfig) : void from class org.apache.pinot.controller.api.resources.PinotTableRestletResource to public ensureMinReplicas(tableConfig TableConfig, defaultTableMinReplicas int) : void from class org.apache.pinot.segment.local.utils.TableConfigUtils",ensureMinReplicas,org.apache.pinot.controller.api.resources.PinotTableRestletResource,org.apache.pinot.segment.local.utils.TableConfigUtils,https://github.com/apache/pinot/commit/7c8f47dcd6e262886470c613bf7d0542543a5356
12529,1,apache/hbase,"Move Method	package parseTableCFsFromConfig(tableCFsConfig String) : Map<String,List<String>> from class org.apache.hadoop.hbase.replication.ReplicationPeerZKImpl to public parseTableCFsFromConfig(tableCFsConfig String) : Map<TableName,List<String>> from class org.apache.hadoop.hbase.client.replication.ReplicationAdmin",parseTableCFsFromConfig,org.apache.hadoop.hbase.replication.ReplicationPeerZKImpl,org.apache.hadoop.hbase.client.replication.ReplicationAdmin,https://github.com/apache/hbase/commit/c0d4b26872fc97b42ace9ad94d47f402f5428190
6594,1,stanfordnlp/CoreNLP,"Move Method	private normalizeAmp(in String) : String from class edu.stanford.nlp.international.spanish.process.SpanishLexer to public normalizeAmp(in String) : String from class edu.stanford.nlp.process.LexerUtils",normalizeAmp,edu.stanford.nlp.international.spanish.process.SpanishLexer,edu.stanford.nlp.process.LexerUtils,https://github.com/stanfordnlp/CoreNLP/commit/3fdf10d04b7dafdaaa513920a5909c779c6c11fc
13667,1,apache/ignite,"Move Method	private sync() : boolean from class org.gridgain.grid.kernal.processors.cache.GridCacheTxLocalAdapter to private sync() : boolean from class org.gridgain.grid.kernal.processors.cache.distributed.near.GridNearTxLocal",sync,org.gridgain.grid.kernal.processors.cache.GridCacheTxLocalAdapter,org.gridgain.grid.kernal.processors.cache.distributed.near.GridNearTxLocal,https://github.com/apache/ignite/commit/e399973177568de7d1763b3c60649423d2bf7a00
7863,1,SonarSource/sonarqube,"Move Method	public assign(issueKey String, assignee String) : void from class org.sonar.server.issue.IssueService to private assign(issueKey String, assignee String) : void from class org.sonar.server.issue.ws.AssignAction",assign,org.sonar.server.issue.IssueService,org.sonar.server.issue.ws.AssignAction,https://github.com/SonarSource/sonarqube/commit/992d2c44503eabebcdba9a3837c38d5341b39782
10495,0,trinodb/trino,"Move Method	private isStageRunningOrDone() : Predicate<StageState> from class com.facebook.presto.server.StatementResource.Query to private isStageRunningOrDone() : Predicate<StageState> from class com.facebook.presto.execution.QueryStateMachine",isStageRunningOrDone,com.facebook.presto.server.StatementResource.Query,com.facebook.presto.execution.QueryStateMachine,https///github.com/trinodb/trino/commit/3db3f5b8dfcd0d7d717b7513f79481105eaf180b
22053,1,quarkusio/quarkus,"Move Method	private clientLiteral(name String) : AnnotationLiteral from class io.quarkus.mongodb.panache.runtime.BeanUtils to public clientLiteral(clientName String, isReactive boolean) : AnnotationLiteral from class io.quarkus.mongodb.runtime.MongoClientBeanUtil",clientLiteral,io.quarkus.mongodb.panache.runtime.BeanUtils,io.quarkus.mongodb.runtime.MongoClientBeanUtil,https://github.com/quarkusio/quarkus/commit/85a67d06790106da169f09061c7248bf6c106b8b
2414,1,bazelbuild/bazel,"Move Method	private dumpSingleAction(actionGraphDump ActionGraphDump, actionGraphBuilder ActionGraphContainer.Builder, configuredTarget ConfiguredTarget, action ActionAnalysisMetadata) : void from class com.google.devtools.build.lib.skyframe.SequencedSkyframeExecutor to private dumpSingleAction(configuredTarget ConfiguredTarget, action ActionAnalysisMetadata) : void from class com.google.devtools.build.lib.skyframe.ActionGraphDump",dumpSingleAction,com.google.devtools.build.lib.skyframe.SequencedSkyframeExecutor,com.google.devtools.build.lib.skyframe.ActionGraphDump,https://github.com/bazelbuild/bazel/commit/88c3b85bbfa840200ec5d483dc791cefbb20f73a
2444,1,bazelbuild/bazel,"Move Method	public getStaticRuntimeLibsLabel() : Label from class com.google.devtools.build.lib.rules.cpp.CppConfiguration to public getStaticRuntimeLibsLabel() : Label from class com.google.devtools.build.lib.rules.cpp.CcToolchainProvider",getStaticRuntimeLibsLabel,com.google.devtools.build.lib.rules.cpp.CppConfiguration,com.google.devtools.build.lib.rules.cpp.CcToolchainProvider,https://github.com/bazelbuild/bazel/commit/d73bcf81d367ee998b64661bbb63b2419f3b04d1
27578,2,hazelcast/hazelcast,"Move And Rename Method	public getSyncBackupCount() : int from class com.hazelcast.spi.impl.Response to public getAsyncBackupCount() : int from class com.hazelcast.map.BaseRemoveOperation",getSyncBackupCount,com.hazelcast.spi.impl.Response,com.hazelcast.map.BaseRemoveOperation,https://github.com/hazelcast/hazelcast/commit/65954c2fca21f74007d1540eac3713b171914ace
3459,1,apache/shardingsphere,"Move Method	private cacheStatements() : void from class org.apache.shardingsphere.shardingjdbc.executor.PreparedStatementExecutor to private cacheStatements(inputGroups Collection<InputGroup<StatementExecuteUnit>>) : void from class org.apache.shardingsphere.shardingjdbc.jdbc.core.statement.ShardingPreparedStatement",cacheStatements,org.apache.shardingsphere.shardingjdbc.executor.PreparedStatementExecutor,org.apache.shardingsphere.shardingjdbc.jdbc.core.statement.ShardingPreparedStatement,https://github.com/apache/shardingsphere/commit/50b35685b8073f9e99a0652e72e87b5149643dbb
22653,2,questdb/questdb,"Move Method	package isSamePartition(timestampA long, timestampB long, partitionBy int) : boolean from class io.questdb.cairo.TableUtils to package isSamePartition(timestampA long, timestampB long, partitionBy int) : boolean from class io.questdb.cairo.TableReaderTest",isSamePartition,io.questdb.cairo.TableUtils,io.questdb.cairo.TableReaderTest,https://github.com/questdb/questdb/commit/bbb1e3421e8cf9e8f3372680dea1efdf99ad8bbb
13474,0,javaparser/javaparser,"Move Method	private placeInferenceVariables(type Type) : Type from class com.github.javaparser.symbolsolver.logic.GenericTypeInferenceLogic to private placeInferenceVariables(type Type) : Type from class com.github.javaparser.symbolsolver.logic.InferenceContext",placeInferenceVariables,com.github.javaparser.symbolsolver.logic.GenericTypeInferenceLogic,com.github.javaparser.symbolsolver.logic.InferenceContext,https://github.com/javaparser/javaparser/commit/389d952bb6e9835faae46ad292d98c30097ed73c
27243,2,hazelcast/hazelcast,"Move Method	public noneMatch(predicate Predicate<? super T>) : boolean from class com.hazelcast.jet.stream.DistributedStream to public noneMatch(predicate Distributed.DoublePredicate) : boolean from class com.hazelcast.jet.stream.DistributedDoubleStream",noneMatch,com.hazelcast.jet.stream.DistributedStream,com.hazelcast.jet.stream.DistributedDoubleStream,https://github.com/hazelcast/hazelcast/commit/5033d0965d755cd4ae01c6aa0c7a163b1ea71ea8
21249,2,neo4j/neo4j,"Move And Rename Method	package bitsToString(bits long[]) : String from class org.neo4j.internal.id.indexed.BitsUtil to public toString() : String from class org.neo4j.internal.id.indexed.IdRange",bitsToString,org.neo4j.internal.id.indexed.BitsUtil,org.neo4j.internal.id.indexed.IdRange,https://github.com/neo4j/neo4j/commit/23327f9d85acc27bb67686cadea8d363b07e4822
14199,1,apache/pinot,"Move Method	public decrementRefCnt() : int from class com.linkedin.pinot.core.data.manager.offline.OfflineSegmentDataManager to public decrementRefCnt() : int from class com.linkedin.pinot.core.data.manager.offline.SegmentDataManager",decrementRefCnt,com.linkedin.pinot.core.data.manager.offline.OfflineSegmentDataManager,com.linkedin.pinot.core.data.manager.offline.SegmentDataManager,https://github.com/apache/pinot/commit/363687fde4c83a8ad866d99af4b187a98544fa46
2156,1,apache/flink,"Move Method	public createExceptionObjectFromNewClassLoader(parentClassLoader ClassLoader) : ObjectAndClassLoader<Exception> from class org.apache.flink.core.testutils.CommonTestUtils to public createExceptionObjectFromNewClassLoader(parentClassLoader ClassLoader) : ObjectAndClassLoader<Exception> from class org.apache.flink.testutils.ClassLoaderUtils",createExceptionObjectFromNewClassLoader,org.apache.flink.core.testutils.CommonTestUtils,org.apache.flink.testutils.ClassLoaderUtils,https://github.com/apache/flink/commit/9dfd51a76cf77a6aa188680740236d55b7f61990
4703,1,greenrobot/greenDAO,"Move Method	public runInTx(runnable Runnable) : void from class de.greenrobot.dao.AbstractDaoMaster to public runInTx(runnable Runnable) : void from class de.greenrobot.dao.AbstractDaoSession",runInTx,de.greenrobot.dao.AbstractDaoMaster,de.greenrobot.dao.AbstractDaoSession,https://github.com/greenrobot/greenDAO/commit/850987a88496a680577473a3eb9aac1335b9d383
8267,1,languagetool-org/languagetool,"Move Method	public toSortedString() : String from class org.languagetool.tagging.de.AnalyzedGermanTokenReadings to private toSortedString(tokenReadings AnalyzedGermanTokenReadings) : String from class org.languagetool.tagging.de.GermanTaggerTest",toSortedString,org.languagetool.tagging.de.AnalyzedGermanTokenReadings,org.languagetool.tagging.de.GermanTaggerTest,https://github.com/languagetool-org/languagetool/commit/3777d92b70021451bf8ce794d172fd52dff7d08c
6951,1,junit-team/junit4,"Move Method	public isArray(expected Object) : boolean from class org.junit.Assert to private isArray(expected Object) : boolean from class org.junit.internal.ComparisonCriteria",isArray,org.junit.Assert,org.junit.internal.ComparisonCriteria,https://github.com/junit-team/junit4/commit/cc24890c002286ca583518c471b16d143a69a62a
27300,2,hazelcast/hazelcast,"Move Method	public invalidate() : void from class com.hazelcast.internal.partition.MigrationInfo to public invalidate(address Address) : void from class com.hazelcast.internal.partition.impl.MigrationManager.RepartitioningTask",invalidate,com.hazelcast.internal.partition.MigrationInfo,com.hazelcast.internal.partition.impl.MigrationManager.RepartitioningTask,https://github.com/hazelcast/hazelcast/commit/87ac601de0b758d0244960ed00ae7e6357fae8b8
15273,2,spring-projects/spring-boot,"Move Method	public testBadUrl() : void from class org.springframework.boot.autoconfigure.jdbc.HikariDataSourceConfigurationTests to public testBadUrl() : void from class org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfigurationTests",testBadUrl,org.springframework.boot.autoconfigure.jdbc.HikariDataSourceConfigurationTests,org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfigurationTests,https://github.com/spring-projects/spring-boot/commit/5249f54c5a3253c30132d80cf715c9a734db7409
9342,1,google/j2objc,"Move Method	private getOwningMethod(node ASTNode) : MethodDeclaration from class com.google.devtools.j2objc.gen.StatementGenerator to public getOwningMethod(node ASTNode) : MethodDeclaration from class com.google.devtools.j2objc.util.ASTUtil",getOwningMethod,com.google.devtools.j2objc.gen.StatementGenerator,com.google.devtools.j2objc.util.ASTUtil,https://github.com/google/j2objc/commit/b558b328ee171b1605440c0b6b571a4194fbb6e6
27020,1,opensearch-project/OpenSearch,"Move And Rename Method	private getValues(values List<Object>, part List<Object>, pathElements String[], index int) : void from class org.elasticsearch.search.lookup.SourceLookup to private extractRawValues(values List, part List<Object>, pathElements String[], index int) : void from class org.elasticsearch.common.xcontent.support.XContentMapValues",getValues,org.elasticsearch.search.lookup.SourceLookup,org.elasticsearch.common.xcontent.support.XContentMapValues,https://github.com/opensearch-project/OpenSearch/commit/9a13763315e8da781bf7f7b6e12c8819f9271513
3643,1,apache/shardingsphere,"Move Method	private unmarshal(yamlFile File) : YamlMasterSlaveConfiguration from class io.shardingjdbc.core.api.MasterSlaveDataSourceFactory to public unmarshal(yamlFile File) : YamlMasterSlaveConfiguration from class io.shardingjdbc.core.yaml.masterslave.YamlMasterSlaveConfiguration",unmarshal,io.shardingjdbc.core.api.MasterSlaveDataSourceFactory,io.shardingjdbc.core.yaml.masterslave.YamlMasterSlaveConfiguration,https://github.com/apache/shardingsphere/commit/5864f9014b01b49963c8f747668daa453c2d61df
